#	#530	"F. Lefebvre and P. Finnie, PRL 2007"											
#	2	3	4	5	6	7	8	9	10	11	12	13	14
#   	"(n,m)"	dt_nm	mod	É∆	E11_eV	E22_eV	E12_eV	EL1_eV	EL1*_eV	E22+G_eV	E22+2G_eV	ET1_eV	ET2_eV
11	0	0.8734	2	0	1.217703271	1.688207066	1.686001983	1.732931116	1.852931116	1.885207066	2.082207066	1.794772306	2.040936721
10	2	0.884160981	2	0.156176871	1.19913924	1.700803012	1.67964361	1.70809633	1.82809633	1.897803012	2.094803012	1.787090107	2.030258494
9	4	0.91568547	2	0.305086524	1.14938458	1.724983947	1.658052666	1.640819701	1.760819701	1.921983947	2.118983947	1.76180008	1.99659686
8	6	0.96594269	2	0.441306432	1.081656325	1.734216706	1.617375145	1.547522472	1.667522472	1.931216706	2.128216706	1.715724666	1.938305158
11	1	0.91568547	1	0.075164683	1.038933204	2.014952828	1.761972598	1.530368325	1.650368325	2.211952828	2.408952828	1.865720013	2.100516793
10	3	0.936112194	1	0.222189625	1.03702219	1.947752218	1.719798491	1.5177338	1.6377338	2.144752218	2.341752218	1.821282053	2.050955378
9	5	0.975683535	1	0.360113803	1.02751688	1.835982918	1.646745902	1.488732002	1.608732002	2.032982918	2.229982918	1.744113539	1.964471875
8	7	1.0322	1	0.485127748	1.005074131	1.708223447	1.557888448	1.441036154	1.561036154	1.905223447	2.102223447	1.649924875	1.858217842
12	1	0.994879148	2	0.069171499	1.084347647	1.567986077	1.541549847	1.536663892	1.656663892	1.764986077	1.961986077	1.637038832	1.853145482
11	3	1.01371134	2	0.204928375	1.060119525	1.577374797	1.529702815	1.504032878	1.624032878	1.774374797	1.971374797	1.623417856	1.835509791
10	5	1.05036327	2	0.333473172	1.017269762	1.585070378	1.504486678	1.445692968	1.565692968	1.782070378	1.979070378	1.594931577	1.799622664
9	7	1.103060053	2	0.451554895	0.963773274	1.578182201	1.465082543	1.371729304	1.491729304	1.775182201	1.972182201	1.551206594	1.746118919
12	2	1.041321238	1	0.132454598	0.945553545	1.800831254	1.588330486	1.377696849	1.497696849	1.997831254	2.194831254	1.679560739	1.886029207
11	4	1.068217749	1	0.260418171	0.939867833	1.736405906	1.545960214	1.361130258	1.481130258	1.933405906	2.130405906	1.634893392	1.836163218
10	6	1.1116	1	0.380251207	0.926780414	1.646691128	1.484548355	1.331602292	1.451602292	1.843691128	2.040691128	1.570010751	1.763425649
9	8	1.169635037	1	0.489650043	0.904334502	1.547716065	1.413042823	1.289069899	1.409069899	1.744716065	1.941716065	1.49426474	1.678082763
14	0	1.1116	2	0	0.982769908	1.457829811	1.421480543	1.387591786	1.507591786	1.654829811	1.851829811	1.50694294	1.700357837
13	2	1.120074837	2	0.123092435	0.973938132	1.459981889	1.416491682	1.375697001	1.495697001	1.656981889	1.853981889	1.501307444	1.693258903
12	4	1.145123085	2	0.242563874	0.949136365	1.463307773	1.401175662	1.342107221	1.462107221	1.660307773	1.857307773	1.484136176	1.671888919
11	6	1.185694851	2	0.355394354	0.912598354	1.460777587	1.375033541	1.292122647	1.412122647	1.657777587	1.854777587	1.455155336	1.636483609
10	8	1.240267649	2	0.459536526	0.869276854	1.446169707	1.33842627	1.232101765	1.352101765	1.643169707	1.840169707	1.415022641	1.588372321
14	1	1.15335162	1	0.059655024	0.868860316	1.65781983	1.465191765	1.25902754	1.37902754	1.85481983	2.05181983	1.547560401	1.73397363
13	3	1.169635037	1	0.177296301	0.865437693	1.625509683	1.443604601	1.25017309	1.37017309	1.822509683	2.019509683	1.524826518	1.708644541
12	5	1.201540028	1	0.290198935	0.857291802	1.567648571	1.403998882	1.231811159	1.351811159	1.764648571	1.961648571	1.483064079	1.662001106
11	7	1.247868951	1	0.395995822	0.842918286	1.494383695	1.351935136	1.203533076	1.323533076	1.691383695	1.888383695	1.428064925	1.600358658
10	9	1.307088964	1	0.493221267	0.821749338	1.415223705	1.293007311	1.166025828	1.286025828	1.612223705	1.809223705	1.365687903	1.530175559
15	1	1.232619471	2	0.055814575	0.894947764	1.361541476	1.316180259	1.260023938	1.380023938	1.558541476	1.755541476	1.393251896	1.567677179
14	3	1.247868951	2	0.166073981	0.882274295	1.362080339	1.307715458	1.242889085	1.362889085	1.559080339	1.756080339	1.383845247	1.55613898
13	5	1.277822069	2	0.272417947	0.858809652	1.360153764	1.290630187	1.210971359	1.330971359	1.557153764	1.754153764	1.364975437	1.533230474
12	7	1.321479368	2	0.372817649	0.827578992	1.35165546	1.265016169	1.168106442	1.288106442	1.54865546	1.74565546	1.336905298	1.499601746
11	9	1.377538515	2	0.465927771	0.791774123	1.333606455	1.231612566	1.118443755	1.238443755	1.530606455	1.727606455	1.300576155	1.456651646
15	2	1.277822069	1	0.10783326	0.801401281	1.514779639	1.345614219	1.153562987	1.273562987	1.711779639	1.908779639	1.419959468	1.588214505
14	4	1.29983402	1	0.21321551	0.796284326	1.480535836	1.321965625	1.142482373	1.262482373	1.677535836	1.874535836	1.39505188	1.560457614
13	6	1.335714745	1	0.314014384	0.786814735	1.429637798	1.285931376	1.123713015	1.243713015	1.626637798	1.823637798	1.357054346	1.518016857
12	8	1.384386304	1	0.408637855	0.772347404	1.368770308	1.241342052	1.097401183	1.217401183	1.565770308	1.762770308	1.309964516	1.465267988
11	10	1.444556389	1	0.496112829	0.752872985	1.303872982	1.191860934	1.064387304	1.184387304	1.500872982	1.697872982	1.257625068	1.406459687
