0.0000	1010
1.0000	1025
2.0000	1662
3.0000	4201
4.0000	3144
5.0000	1099
6.0000	1039
7.0000	1053
8.0000	1148
9.0000	1073
10.0000	1070
11.0000	1160
12.0000	1319
13.0000	1674
14.0000	1811
15.0000	2352
16.0000	3045
17.0000	8894
18.0000	51660
19.0000	65535
20.0000	15601
21.0000	7720
22.0000	6847
23.0000	1538
24.0000	1143
25.0000	1172
26.0000	1055
27.0000	1083
28.0000	1115
29.0000	1121
30.0000	1050
31.0000	1517
32.0000	1277
33.0000	1080
34.0000	1008
35.0000	1082
36.0000	1084
37.0000	1048
38.0000	945
39.0000	954
40.0000	938
41.0000	1018
42.0000	1076
43.0000	1525
44.0000	4049
45.0000	2419
46.0000	2856
47.0000	2211
48.0000	6153
49.0000	3090
50.0000	1055
51.0000	905
52.0000	875
53.0000	977
54.0000	920
55.0000	966
56.0000	956
57.0000	938
58.0000	972
59.0000	956
60.0000	979
61.0000	967
62.0000	955
63.0000	878
64.0000	871
65.0000	891
66.0000	996
67.0000	1023
68.0000	952
69.0000	958
70.0000	931
71.0000	1062
72.0000	1890
73.0000	2194
74.0000	1009
75.0000	1096
76.0000	992
77.0000	946
78.0000	925
79.0000	950
80.0000	927
81.0000	949
82.0000	926
83.0000	923
84.0000	1278
85.0000	1218
86.0000	1363
87.0000	1052
88.0000	1007
89.0000	1076
90.0000	1373
91.0000	912
92.0000	913
93.0000	896
94.0000	1014
95.0000	1634
96.0000	1096
97.0000	946
98.0000	962
99.0000	982
100.0000	931
101.0000	945
102.0000	890
103.0000	913
104.0000	928
105.0000	933
106.0000	979
107.0000	899
108.0000	937
109.0000	906
110.0000	927
111.0000	866
112.0000	980
113.0000	893
114.0000	944
115.0000	960
116.0000	921
117.0000	912
118.0000	1018
119.0000	903
120.0000	932
121.0000	1017
122.0000	895
123.0000	968
124.0000	1140
125.0000	1520
126.0000	1012
127.0000	933
128.0000	851
129.0000	897
130.0000	936
131.0000	910
132.0000	953
133.0000	1050
134.0000	941
135.0000	974
136.0000	1160
137.0000	1854
138.0000	965
139.0000	1055
140.0000	1603
141.0000	6010
142.0000	1464
143.0000	975
144.0000	1079
145.0000	971
146.0000	969
147.0000	958
148.0000	973
149.0000	1050
150.0000	926
151.0000	963
152.0000	1057
153.0000	1078
154.0000	1527
155.0000	17265
156.0000	17802
157.0000	3075
158.0000	3277
159.0000	1436
160.0000	1668
161.0000	1006
162.0000	1008
163.0000	1009
164.0000	900
165.0000	965
166.0000	1076
167.0000	1154
168.0000	1787
169.0000	1369
170.0000	1112
171.0000	1133
172.0000	1124
173.0000	1130
174.0000	1133
175.0000	1147
176.0000	1227
177.0000	1378
178.0000	3797
179.0000	37186
180.0000	5354
181.0000	1942
182.0000	2689
183.0000	44886
184.0000	65535
185.0000	2454
186.0000	1532
187.0000	1315
188.0000	3354
189.0000	8592
190.0000	1464
191.0000	2393
192.0000	1901
193.0000	6282
194.0000	65535
195.0000	8685
196.0000	1509
197.0000	1577
198.0000	1271
199.0000	1405
200.0000	8257
201.0000	27975
202.0000	1889
203.0000	1269
204.0000	1932
205.0000	1554
206.0000	1030
207.0000	1140
208.0000	1834
209.0000	2724
210.0000	1578
211.0000	2080
212.0000	1117
213.0000	1186
214.0000	7047
215.0000	14854
216.0000	1348
217.0000	1110
218.0000	1163
219.0000	1382
220.0000	8759
221.0000	2482
222.0000	1205
223.0000	1218
224.0000	9916
225.0000	3852
226.0000	1085
227.0000	1159
228.0000	3595
229.0000	6854
230.0000	10534
231.0000	4133
232.0000	1068
233.0000	987
234.0000	963
235.0000	975
236.0000	902
237.0000	1000
238.0000	995
239.0000	1023
240.0000	1000
241.0000	971
242.0000	1021
243.0000	1086
244.0000	16591
245.0000	8290
246.0000	1115
247.0000	1093
248.0000	1140
249.0000	1280
250.0000	1309
251.0000	5709
252.0000	1363
253.0000	1062
254.0000	1028
255.0000	1406
256.0000	21629
257.0000	7824
258.0000	1869
259.0000	2488
260.0000	972
261.0000	945
262.0000	1015
263.0000	911
264.0000	950
265.0000	925
266.0000	927
267.0000	941
268.0000	932
269.0000	1026
270.0000	1014
271.0000	1953
272.0000	5597
273.0000	1138
274.0000	1041
275.0000	916
276.0000	950
277.0000	1442
278.0000	1742
279.0000	2141
280.0000	1025
281.0000	1539
282.0000	7289
283.0000	1616
284.0000	998
285.0000	1006
286.0000	942
287.0000	1052
288.0000	1056
289.0000	1048
290.0000	1192
291.0000	1008
292.0000	932
293.0000	1049
294.0000	918
295.0000	1031
296.0000	914
297.0000	1067
298.0000	991
299.0000	968
300.0000	1100
301.0000	991
302.0000	1182
303.0000	4253
304.0000	9008
305.0000	1411
306.0000	1909
307.0000	5681
308.0000	8948
309.0000	12455
310.0000	1357
311.0000	1318
312.0000	8505
313.0000	3903
314.0000	1098
315.0000	958
316.0000	1010
317.0000	1364
318.0000	2445
319.0000	1534
320.0000	916
321.0000	1027
322.0000	933
323.0000	972
324.0000	922
325.0000	959
326.0000	923
327.0000	967
328.0000	892
329.0000	1420
330.0000	1288
331.0000	968
332.0000	885
333.0000	982
334.0000	966
335.0000	995
336.0000	982
337.0000	1229
338.0000	2684
339.0000	10461
340.0000	3127
341.0000	2889
342.0000	3709
343.0000	1131
344.0000	1074
345.0000	3662
346.0000	7738
347.0000	1487
348.0000	982
349.0000	1017
